Nr.	Depth	Coverage	Quality	Probability	Positives	p-Value	Conditions
102	5	1911	0.26106956601142883	0.47514390371533227	908.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND X in (608860.4, 614227.2] AND Y in (-inf, 7795834.5] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791068.0, 7795429.5]
103	5	1911	0.26106956601142883	0.47514390371533227	908.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND Y in (-inf, 7795834.5] AND X in (608860.4, 614227.2] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791068.0, 7795429.5]
104	5	1911	0.26106956601142883	0.47514390371533227	908.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND Y in (-inf, 7795834.5] AND TIPO_CONSTRUTIVO = 'CASA' AND X in (608790.4, 614227.2] AND Y in (7791068.0, 7795429.5]
105	5	1911	0.26106956601142883	0.47514390371533227	908.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND Y in (-inf, 7795834.5] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791068.0, 7795429.5] AND X in (608790.4, 614227.2]
106	3	1915	0.26076966524124146	0.4741514360313316	908.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791068.0, 7795429.5]
107	4	1915	0.26076966524124146	0.4741514360313316	908.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND Y in (-inf, 7795834.5] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791068.0, 7795429.5]
108	5	1506	0.2587048411369324	0.5278884462151394	795.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND X in (609141.75, 614244.56] AND Y in (7791073.5, 7793655.0] AND AREA_CONSTRUCAO in (399.98, 3444.27] AND AREA_TERRENO in (396.0, inf)
109	5	1506	0.2587048411369324	0.5278884462151394	795.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791073.5, 7793655.0] AND X in (609141.75, 614244.56] AND AREA_CONSTRUCAO in (399.98, 3444.27] AND AREA_TERRENO in (396.0, inf)
110	5	1506	0.2587048411369324	0.5278884462151394	795.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791073.5, 7793655.0] AND AREA_CONSTRUCAO in (399.98, 3444.27] AND X in (608790.4, 614244.56] AND AREA_TERRENO in (396.0, inf)
111	5	1506	0.2587048411369324	0.5278884462151394	795.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791073.5, 7793655.0] AND AREA_CONSTRUCAO in (399.98, 3444.27] AND AREA_TERRENO in (396.0, inf) AND X in (608790.4, 614244.56]
112	4	1509	0.25845253467559814	0.5268389662027833	795.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791073.5, 7793655.0] AND AREA_CONSTRUCAO in (399.98, 3444.27] AND AREA_TERRENO in (396.0, inf)
113	4	1975	0.2583286166191101	0.46329113924050636	915.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND X in (608860.4, 614227.2] AND Y in (-inf, 7795834.5] AND TIPO_CONSTRUTIVO = 'CASA'
114	4	1975	0.2583286166191101	0.46329113924050636	915.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND Y in (-inf, 7795834.5] AND X in (608860.4, 614227.2] AND TIPO_CONSTRUTIVO = 'CASA'
115	4	1975	0.2583286166191101	0.46329113924050636	915.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND Y in (-inf, 7795834.5] AND TIPO_CONSTRUTIVO = 'CASA' AND X in (608790.4, 614227.2]
116	3	1979	0.2580372393131256	0.46235472460838806	915.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND Y in (-inf, 7795834.5] AND TIPO_CONSTRUTIVO = 'CASA'
117	4	1683	0.2556923031806946	0.49376114081996436	831.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND X in (609141.75, 614244.56] AND Y in (7791073.5, 7793655.0] AND AREA_CONSTRUCAO in (399.98, 3444.27]
118	4	1683	0.2556923031806946	0.49376114081996436	831.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791073.5, 7793655.0] AND X in (609141.75, 614244.56] AND AREA_CONSTRUCAO in (399.98, 3444.27]
119	4	1683	0.2556923031806946	0.49376114081996436	831.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791073.5, 7793655.0] AND AREA_CONSTRUCAO in (399.98, 3444.27] AND X in (608790.4, 614244.56]
120	3	1686	0.25545650720596313	0.4928825622775801	831.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791073.5, 7793655.0] AND AREA_CONSTRUCAO in (399.98, 3444.27]
121	3	2170	0.2547498047351837	0.43870967741935485	952.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (416.73, 3444.27] AND X in (608790.4, 614227.2]
122	4	2170	0.2547498047351837	0.43870967741935485	952.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND X in (609141.75, 614244.56] AND AREA_CONSTRUCAO in (416.73, 3444.27] AND X in (-inf, 614227.2]
123	3	2171	0.25468164682388306	0.4385076001842469	952.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND X in (609141.75, 614244.56] AND AREA_CONSTRUCAO in (416.73, 3444.27]
124	2	2176	0.2543414235115051	0.4375	952.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (416.73, 3444.27]
125	3	2070	0.25268077850341797	0.4439613526570048	919.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND X in (608860.4, 614227.2] AND TIPO_CONSTRUTIVO = 'CASA'
126	3	2070	0.25268077850341797	0.4439613526570048	919.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND TIPO_CONSTRUTIVO = 'CASA' AND X in (608790.4, 614227.2]
127	2	2076	0.2522646188735962	0.44267822736030826	919.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND TIPO_CONSTRUTIVO = 'CASA'
128	5	1096	0.248591810464859	0.6040145985401459	662.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND X in (609141.75, 614244.56] AND AREA_TERRENO in (552.0, 21167.36] AND AREA_CONSTRUCAO in (399.06, 3444.27] AND Y in (7791068.0, 7795938.5]
129	5	1096	0.248591810464859	0.6040145985401459	662.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (552.0, 21167.36] AND X in (609126.25, 614244.56] AND AREA_CONSTRUCAO in (399.06, 3444.27] AND Y in (7791068.0, 7795938.5]
130	5	1096	0.248591810464859	0.6040145985401459	662.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (552.0, 21167.36] AND AREA_CONSTRUCAO in (399.06, 3444.27] AND X in (608790.4, 614244.56] AND Y in (7791068.0, 7795938.5]
