X,Y,AREA_TERRENO,AREA_CONSTRUCAO,TIPO_CONSTRUTIVO,PADRAO_ACABAMENTO
609127.594751421,7793632.52296253,2.93651374247889,2.07682242334277,APARTAMENTO,P3
609128.635511551,7793789.94020357,3.36248247475117,2.62248342999733,APARTAMENTO,P4
609141.780723598,7793501.8959382,1.40140054078154,1.95424250943932,CASA,P2
609143.091448028,7793948.68028299,3.35850591149024,2.58292654591004,APARTAMENTO,P5
609143.547099218,7793688.73355337,2.63548374681491,2.25282876804059,APARTAMENTO,P4
609144.638222222,7793637.49243243,2.88536122003151,2.10720996964787,APARTAMENTO,P3
609145.200199265,7794075.78056179,3.43199223196122,2.68265040578146,APARTAMENTO,P5
609145.3173241,7793285.63287804,3.13987908640124,2.754019431925,CASA,P5
609151.555791212,7796798.60097772,2.42488163663107,2.34439227368511,CASA,P3
609153.988182657,7796782.29166106,2.42160392686983,2.41497334797082,CASA,P3
609155.994672552,7793254.63544599,2.72427586960079,2.58114149899204,CASA,P5
609156.106703843,7793328.01485088,2.75966784468963,2.56201911318102,CASA,P4
609156.187148346,7793640.25878116,2.63548374681491,2.4912075619931,APARTAMENTO,P4
609157.199347755,7793799.07223871,2.76042248342321,2.29212310371287,APARTAMENTO,P3
609157.646023361,7793895.72458022,3.52036822960966,2.20994373568495,APARTAMENTO,P4
609157.73321183,7793506.68971545,1.40140054078154,1.70243053644553,CASA,P2
609159.896205657,7793969.01231043,2.82994669594164,2.32155700793854,APARTAMENTO,P4
609167.587587249,7793643.61737391,2.63548374681491,2.29003461136252,APARTAMENTO,P3
609168.380020592,7793339.81210937,2.67851837904011,2.49985197326719,CASA,P3
609171.585332998,7796865.76281292,2.47712125471966,2.19451434188247,CASA,P3
609172.597842445,7793696.369553,2.93651374247889,2.49296980532049,APARTAMENTO,P3
609174.04321662,7796823.64799392,2.73239375982297,2.51054501020661,CASA,P3
609176.913072846,7796886.25744359,2.4983105537896,2.10458952717937,APARTAMENTO,P2
609177.46249494,7793260.07711452,2.95424250943932,2.80078579032776,CASA,P5
609178.183081173,7796843.26876725,2.72015930340596,2.58883172559421,CASA,P2
609179.086438774,7793646.93700851,2.63548374681491,2.2887856124025,APARTAMENTO,P3
609181.639929899,7794250.59707782,2.94522231663534,2.74748172444673,APARTAMENTO,P4
609183.606774239,7793969.68151116,2.82607480270083,2.66434106130061,APARTAMENTO,P4
609185.912523066,7793240.40586916,2.65321251377534,2.33499628024322,CASA,P3
609186.46271232,7793347.73316031,2.73239375982297,2.52932767213884,CASA,P5
609189.25330571,7793940.60416748,2.89762709129044,2.30373588903991,APARTAMENTO,P4
609189.53025457,7793701.49044301,2.63548374681491,2.34409740359441,APARTAMENTO,P3
609190.157729353,7793807.40241908,3.45939248775923,2.11961874975257,APARTAMENTO,P3
609194.238200188,7796865.38646067,2.77815125038364,2.18639121569549,APARTAMENTO,P3
609196.401166273,7793651.55885065,2.93651374247889,2.55196206586409,APARTAMENTO,P4
609196.81807155,7792809.0027105,2.70757017609794,2.51851393987789,CASA,P4
609197.075839026,7793268.20091252,2.65321251377534,2.62428209583567,CASA,P5
609199.192602428,7793600.69788389,3.66133934000604,2.24119770969806,APARTAMENTO,P4
609199.730331331,7793234.40190383,2.65321251377534,2.55010599934759,CASA,P4
609199.88273326,7794049.52982127,2.67394199863409,3.31769151999145,CASA,P3
609200.059927019,7794020.64687206,2.65991620006985,2.47129171105894,CASA,P4
609200.089316535,7792606.90013369,2.65321251377534,1.99563519459755,BARRACAO,P2
609200.537948616,7792620.92570206,2.65321251377534,2.51047798428135,CASA,P3
609201.493240997,7792578.77681611,3.13033376849501,2.73957234445009,CASA,P5
609202.250455752,7792634.75435013,2.65321251377534,2.53515481959104,CASA,P4
609204.430866474,7792549.53654267,2.65321251377534,2.48699688843182,CASA,P4
609204.804826199,7793888.97022078,2.90145832139611,2.44009007431328,APARTAMENTO,P4
609206.246128845,7792534.69968518,2.65321251377534,2.63610659297839,CASA,P5
609206.749974828,7792655.28875629,2.95424250943932,2.70469947501926,CASA,P5
609207.233546968,7793346.03428579,2.76342799356294,2.71026972241277,CASA,P4
609207.263437063,7793748.78502151,2.76042248342321,2.28634417640908,APARTAMENTO,P4
609208.053028854,7796861.66474674,2.77815125038364,2.18839407126143,APARTAMENTO,P3
609208.100750093,7794087.2622521,2.81424759573192,2.53402610605613,CASA,P4
609208.2627917,7792519.83337322,2.65321251377534,2.67577834167409,CASA,P5
609208.344585499,7793182.27097528,2.65321251377534,2.60205999132796,CASA,P4
609209.129786588,7794105.72483245,2.67117284271508,2.4983105537896,CASA,P3
609210.192566463,7792504.71018724,2.65609820201283,2.59328606702046,CASA,P2
609210.247314601,7794164.79128313,2.69130256338348,2.52235293077527,CASA,P4
609210.379406322,7794187.10941423,3.00216606175651,2.18406650569166,APARTAMENTO,P4
609210.503078274,7794149.97437211,2.68797462003456,2.46686762035411,CASA,P4
609210.543574997,7794209.61132869,2.70757017609794,2.5424394925234,CASA,P4
609211.637079505,7793311.15992258,2.65321251377534,2.35656122071488,CASA,P3
609212.566166052,7793707.81318854,3.11260500153457,2.29885307640971,APARTAMENTO,P4
609213.542112211,7793656.38349835,2.63548374681491,2.18763350995069,APARTAMENTO,P3
609213.705230793,7794251.15065774,2.8555191556678,2.16334030561825,APARTAMENTO,P3
609214.052106371,7792809.04648609,2.70757017609794,2.62117628177504,CASA,P3
609214.069249525,7794269.8552397,2.56702636615906,2.56110138364906,CASA,P4
609214.442539439,7794020.41181366,2.65321251377534,2.48287358360875,CASA,P3
609214.501226669,7794284.63349669,2.55870857053317,2.7091511923398,CASA,P3
609214.700348887,7792483.64085213,2.95424250943932,2.83841457896324,CASA,P5
609214.732064489,7794296.83297463,2.56584781867352,2.44870631990508,CASA,P3
609215.295010774,7794049.05765152,2.67486114073781,2.58092497567562,CASA,P4
609216.093194458,7793971.45472377,2.9576072870601,2.48572142648158,APARTAMENTO,P4
609216.501401839,7794309.0834817,2.54282542695918,2.38916608436453,APARTAMENTO,P3
609217.579238194,7794341.05667072,2.86033800657099,2.37874301881302,APARTAMENTO,P4
609217.674558083,7794412.81000299,2.64836001098093,2.26799259036558,APARTAMENTO,P4
609217.873979854,7793942.72347972,2.7501225267834,2.41702305042196,APARTAMENTO,P4
609218.168056523,7794359.41275876,2.55630250076729,2.58994960132571,CASA,P3
609218.54639256,7794371.87300266,2.55990662503611,2.24551266781415,APARTAMENTO,P3
609218.631077374,7794384.2577228,2.56749689110422,2.40517554621799,APARTAMENTO,P4
609218.701578696,7792303.21061448,2.65321251377534,2.46106311370355,BARRACAO,P1
609219.156247418,7794396.46802063,2.55630250076729,2.56076718241525,CASA,P4
609220.222936477,7792463.42269209,2.65321251377534,2.48884672547378,CASA,P4
609220.848966187,7793868.39440066,3.03132765776113,2.36021461329535,APARTAMENTO,P3
609221.470892458,7793446.25445338,1.40140054078154,1.70243053644553,CASA,P2
609221.603459607,7796858.25672808,2.77815125038364,2.28692778495926,APARTAMENTO,P3
609222.094322313,7793176.4171966,2.65321251377534,2.64034228143524,CASA,P5
609222.601746716,7793754.54306961,3.06145247908719,2.21590181320403,APARTAMENTO,P3
609222.666979544,7793817.44857866,2.76042248342321,2.28831631016629,APARTAMENTO,P3
