Nr.	Depth	Coverage	Quality	Probability	Positives	p-Value	Conditions
252	5	6089	0.11545220017433167	0.7347676137296765	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND X <= 612747.94 AND AREA_TERRENO >= 335.75 AND AREA_CONSTRUCAO <= 697.9
253	5	6089	0.11545220017433167	0.7347676137296765	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND X <= 612747.94 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 335.75
254	5	6089	0.11545220017433167	0.7347676137296765	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO >= 335.75 AND X <= 612747.94 AND AREA_CONSTRUCAO <= 697.9
255	5	6089	0.11545220017433167	0.7347676137296765	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO >= 335.75 AND AREA_CONSTRUCAO <= 697.9 AND X <= 612747.94
256	5	6089	0.11545220017433167	0.7347676137296765	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO >= 335.75 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 336.0
257	5	6089	0.11545220017433167	0.7347676137296765	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO >= 335.75 AND AREA_CONSTRUCAO <= 697.9 AND AREA_CONSTRUCAO <= 696.75
258	5	6089	0.11545220017433167	0.7347676137296765	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_CONSTRUCAO <= 697.9 AND X <= 612747.94 AND AREA_TERRENO >= 335.75
259	5	6089	0.11545220017433167	0.7347676137296765	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 335.75 AND X <= 612747.94
260	5	6089	0.11545220017433167	0.7347676137296765	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 335.75 AND AREA_TERRENO >= 336.0
261	5	6089	0.11545220017433167	0.7347676137296765	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 335.75 AND AREA_CONSTRUCAO <= 696.75
262	5	6089	0.11545220017433167	0.7347676137296765	4474.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_CONSTRUCAO <= 697.9 AND AREA_CONSTRUCAO <= 696.75 AND AREA_TERRENO >= 335.75
263	5	5781	0.11544997990131378	0.7498702646600934	4335.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND X <= 612791.4 AND AREA_TERRENO >= 352.5 AND AREA_CONSTRUCAO <= 697.9
264	5	5781	0.11544997990131378	0.7498702646600934	4335.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND X <= 612791.4 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 352.5
265	5	5781	0.11544997990131378	0.7498702646600934	4335.0	NaN	Y >= 7793407.0 AND X <= 612794.75 AND AREA_CONSTRUCAO <= 697.9 AND X <= 612791.4 AND AREA_TERRENO >= 352.5
266	5	5875	0.11542244255542755	0.7450212765957447	4377.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO >= 335.75 AND AREA_TERRENO >= 351.0 AND AREA_CONSTRUCAO <= 697.9
267	5	6088	0.11541551351547241	0.7347240473061761	4473.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_TERRENO >= 335.75 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO <= 10252.55
268	5	6088	0.11541551351547241	0.7347240473061761	4473.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO <= 10252.55 AND AREA_TERRENO >= 335.75
269	5	6088	0.11541551351547241	0.7347240473061761	4473.0	NaN	X <= 612748.1 AND Y >= 7793317.0 AND AREA_CONSTRUCAO <= 697.9 AND AREA_TERRENO >= 335.75 AND AREA_TERRENO <= 10252.55
